geneid	chr	s1	s2
ENSG00000105497	19	52074551	52092991
ENSG00000105499	19	48551100	48614074
ENSG00000105514	19	11432722	11456946
ENSG00000105516	19	49133287	49140695
ENSG00000105518	19	11453452	11457194
ENSG00000105519	19	5911718	5915888
ENSG00000105520	19	11466062	11476374
ENSG00000105523	19	49104067	49118111
ENSG00000105538	19	49223844	49243978
ENSG00000105552	19	49298319	49314286
ENSG00000105556	19	305575	344798
ENSG00000105559	19	49340354	49371889
ENSG00000105568	19	52693292	52730687
ENSG00000105576	19	12810008	12834825
ENSG00000105583	19	12778885	12782170
ENSG00000105607	19	13001840	13025021
ENSG00000105609	19	54754263	54761164
ENSG00000105612	19	12986025	12992282
ENSG00000105617	19	54658899	54663620
ENSG00000105618	19	54618837	54635140
ENSG00000105619	19	54610320	54619055
ENSG00000105639	19	17935589	17958880
ENSG00000105640	19	17970685	17974962
ENSG00000105641	19	17982782	18005983
ENSG00000105643	19	18111941	18124911
ENSG00000105649	19	18307594	18314884
ENSG00000105650	19	18318771	18366229
ENSG00000105655	19	18545198	18549111
ENSG00000105656	19	18553473	18632937
ENSG00000105662	19	18794487	18893004
ENSG00000105664	19	18893583	18902123
ENSG00000105669	19	19010323	19030206
ENSG00000105671	19	19030484	19039436
ENSG00000105672	19	36132647	36135773
ENSG00000105676	19	19144384	19170563
ENSG00000105677	19	36036497	36038428
ENSG00000105698	19	35759881	35770724
ENSG00000105699	19	35739233	35758867
ENSG00000105700	19	18668572	18680197
ENSG00000105701	19	18642561	18654887
ENSG00000105705	19	19386827	19431653
ENSG00000105708	19	19821280	19843906
ENSG00000105711	19	35521588	35531352
ENSG00000105717	19	19672522	19729725
ENSG00000105722	19	42751724	42759309
ENSG00000105723	19	42734338	42746777
ENSG00000105726	19	19756007	19774502
ENSG00000105732	19	42572629	42585701
ENSG00000105738	19	38397868	38699012
ENSG00000105750	19	21106028	21133503
ENSG00000105755	19	44010871	44031396
ENSG00000105767	19	44126520	44143991
ENSG00000105771	19	44235301	44259142
ENSG00000105778	7	32535038	33078516
ENSG00000105792	7	89874488	89940377
ENSG00000105793	7	89964537	90020769
ENSG00000105810	7	92234235	92465908
ENSG00000105819	7	102937869	102969958
ENSG00000105821	7	102952921	102985320
ENSG00000105825	7	93514709	93520303
ENSG00000105829	7	93592074	93633694
ENSG00000105835	7	105888731	105926772
ENSG00000105849	7	19735085	19748710
ENSG00000105851	7	106505723	106547590
ENSG00000105852	7	94989256	95025680
ENSG00000105854	7	95034175	95064510
ENSG00000105855	7	20370325	20455377
ENSG00000105856	7	106809406	106842974
ENSG00000105865	7	107203929	107218906
ENSG00000105866	7	21467652	21554440
ENSG00000105875	7	134868590	134896316
ENSG00000105877	7	21582833	21941457
ENSG00000105879	7	107384142	107402112
ENSG00000105880	7	96649704	96654409
ENSG00000105887	7	135611509	135662101
ENSG00000105894	7	136912088	137028611
ENSG00000105926	7	24612887	24733812
ENSG00000105928	7	24737972	24809244
ENSG00000105929	7	138391040	138484305
ENSG00000105939	7	138728266	138794465
ENSG00000105948	7	138818490	138876732
ENSG00000105953	7	44646171	44748665
ENSG00000105963	7	937540	995043
ENSG00000105967	7	115575202	115799950
ENSG00000105968	7	44866390	44887682
ENSG00000105971	7	115927434	116148595
ENSG00000105974	7	116164839	116201233
ENSG00000105976	7	116312444	116438440
ENSG00000105982	7	156432975	156469824
ENSG00000105983	7	156461646	156685924
ENSG00000105993	7	157128075	157210133
ENSG00000106003	7	2552163	2568811
ENSG00000106009	7	2577511	2595361
ENSG00000106012	7	2598632	2654368
ENSG00000106025	7	120427376	120498456
ENSG00000106028	7	141438121	141487722
ENSG00000106049	7	27565061	27702614
ENSG00000106052	7	27778950	27884183
ENSG00000106066	7	29034847	29235067
ENSG00000106069	7	29161890	29553944
ENSG00000106070	7	50657760	50861159
ENSG00000106077	7	73150424	73153197
ENSG00000106078	7	51083909	51384515
ENSG00000106080	7	30050203	30066300
ENSG00000106086	7	30067020	30170096
ENSG00000106089	7	73113536	73134002
ENSG00000106100	7	30464143	30518400
ENSG00000106105	7	30634297	30673649
ENSG00000106123	7	142552792	142568847
ENSG00000106125	7	30811033	30932002
ENSG00000106144	7	142985308	143004789
ENSG00000106153	7	56169262	56174269
ENSG00000106178	7	75440983	75452674
ENSG00000106211	7	75931861	75933612
ENSG00000106244	7	98989671	99006452
ENSG00000106245	7	99006264	99017239
ENSG00000106246	7	99014362	99063787
ENSG00000106258	7	99245817	99277621
ENSG00000106261	7	99613204	99639312
ENSG00000106263	7	2393721	2420380
ENSG00000106266	7	2291405	2393953
ENSG00000106268	7	2281857	2290781
ENSG00000106278	7	121513143	121702090
ENSG00000106290	7	99704693	99717464
ENSG00000106299	7	123321989	123389121
ENSG00000106302	7	123469037	123517532
ENSG00000106305	7	6048876	6063465
ENSG00000106327	7	100218039	100240402
ENSG00000106330	7	100209725	100213007
ENSG00000106333	7	100199800	100205798
ENSG00000106336	7	100181605	100198740
ENSG00000106344	7	127937738	127983962
ENSG00000106346	7	6144515	6201195
ENSG00000106348	7	128032331	128050306
ENSG00000106351	7	100136834	100165842
ENSG00000106355	7	32524951	32534895
ENSG00000106366	7	100770370	100782547
ENSG00000106367	7	100797678	100804877
ENSG00000106392	7	7196565	7288282
ENSG00000106397	7	100849258	100861701
ENSG00000106399	7	7676149	7758238
ENSG00000106400	7	100860949	100867471
ENSG00000106404	7	100875373	100882101
ENSG00000106415	7	8008425	8133902
ENSG00000106443	7	11013499	11209250
ENSG00000106459	7	129251555	129396922
ENSG00000106460	7	12250867	12282993
ENSG00000106462	7	148504475	148581413
ENSG00000106477	7	130033612	130082274
ENSG00000106479	7	149535456	149564568
ENSG00000106484	7	130126012	130146133
ENSG00000106524	7	16639401	16685442
ENSG00000106526	7	149941005	150020814
ENSG00000106537	7	16793160	16824161
ENSG00000106538	7	150035408	150038763
ENSG00000106541	7	16831435	16873057
ENSG00000106546	7	17338246	17385776
ENSG00000106554	7	132469629	132766848
ENSG00000106560	7	150382785	150390729
ENSG00000106565	7	150488373	150498448
ENSG00000106571	7	42000548	42277469
ENSG00000106588	7	42956460	42971822
ENSG00000106591	7	42971799	42988557
ENSG00000106603	7	43648055	43769316
ENSG00000106605	7	43798279	43846939
ENSG00000106608	7	43915493	43966010
ENSG00000106609	7	66386212	66423538
ENSG00000106610	7	66767608	66786513
ENSG00000106615	7	151163098	151217206
ENSG00000106617	7	151253197	151574210
ENSG00000106624	7	44143960	44154161
ENSG00000106628	7	44154286	44163957
ENSG00000106635	7	72950686	72972332
ENSG00000106636	7	44240567	44253893
ENSG00000106638	7	72983262	72993121
ENSG00000106665	7	73703805	73820273
ENSG00000106682	7	73588575	73611431
ENSG00000106683	7	73497263	73536855
ENSG00000106686	9	4553386	4666674
ENSG00000106688	9	4490444	4587469
ENSG00000106692	9	108320411	108403399
ENSG00000106701	9	108210077	108314714
ENSG00000106714	9	39072764	39288312
ENSG00000106723	9	91003334	91093609
ENSG00000106733	9	77675489	77703133
ENSG00000106771	9	111777432	111882225
ENSG00000106772	9	79226292	79521003
ENSG00000106780	9	123363091	123476748
ENSG00000106785	9	100831557	100881494
ENSG00000106789	9	100883257	100954922
ENSG00000106799	9	101866320	101916474
ENSG00000106803	9	101984346	101992897
ENSG00000106804	9	123714616	123812554
ENSG00000106823	9	95256365	95298937
ENSG00000106829	9	82186688	82341658
ENSG00000106852	9	124964856	124991905
ENSG00000106853	9	114312002	114362135
ENSG00000106868	9	114803065	114937688
ENSG00000106948	9	117096436	117156685
ENSG00000106952	9	117656003	117692697
ENSG00000106976	9	130965658	131017527
ENSG00000106991	9	130577291	130617035
ENSG00000106992	9	130628759	130640022
ENSG00000106993	9	4679559	4708398
ENSG00000107014	9	5299868	5304969
ENSG00000107020	9	5357973	5437878
ENSG00000107021	9	131549483	131572711
ENSG00000107036	9	5629025	5776557
ENSG00000107077	9	6720863	7175648
ENSG00000107099	9	214854	465259
ENSG00000107104	9	470291	746105
ENSG00000107130	9	132934857	132999583
ENSG00000107140	9	35605367	35610038
ENSG00000107159	9	35673853	35681156
ENSG00000107164	9	133454352	133513739
ENSG00000107165	9	12685439	12710290
ENSG00000107175	9	35732332	35737001
ENSG00000107185	9	35749203	35758572
ENSG00000107186	9	13105703	13279589
ENSG00000107201	9	32455300	32526322
ENSG00000107223	9	139756571	139760738
ENSG00000107242	9	71320575	71624092
ENSG00000107249	9	3824127	4348392
ENSG00000107262	9	33247818	33264761
ENSG00000107263	9	134452157	134615461
ENSG00000107281	9	139933922	139940655
ENSG00000107282	9	72042446	72287222
ENSG00000107290	9	135136743	135230372
ENSG00000107317	9	139871956	139879887
ENSG00000107331	9	139901686	139923367
ENSG00000107338	9	37919131	38069210
ENSG00000107341	9	33817565	33920402
ENSG00000107362	9	74477368	74525847
ENSG00000107371	9	37766975	37801434
ENSG00000107372	9	74966341	74980163
ENSG00000107404	1	1270656	1284730
ENSG00000107438	10	96997329	97050781
ENSG00000107443	10	97803151	97820627
ENSG00000107485	10	8095567	8117161
ENSG00000107521	10	100175955	100206684
ENSG00000107537	10	13319796	13344412
ENSG00000107551	10	45454855	45491339
ENSG00000107554	10	101635334	101769676
ENSG00000107560	10	119764427	119806114
ENSG00000107562	10	44793038	44881941
ENSG00000107566	10	101909851	101948091
ENSG00000107581	10	120794356	120840316
ENSG00000107614	10	17184253	17244053
ENSG00000107625	10	70661034	70706603
ENSG00000107643	10	49514698	49647403
ENSG00000107651	10	121652223	121702014
ENSG00000107669	10	123499939	123688316
ENSG00000107672	10	123716603	123734732
ENSG00000107679	10	124134212	124191867
ENSG00000107719	10	72238577	72328205
ENSG00000107731	10	72972327	73062621
ENSG00000107736	10	73156691	73575702
ENSG00000107738	10	73507316	73533255
ENSG00000107742	10	73818793	73848790
ENSG00000107745	10	74127098	74385899
ENSG00000107758	10	75196186	75255782
ENSG00000107771	10	86088342	86278273
ENSG00000107779	10	88516407	88692595
ENSG00000107789	10	89264632	89313217
ENSG00000107796	10	90694831	90751147
ENSG00000107798	10	90973326	91174314
ENSG00000107815	10	102747124	102754158
ENSG00000107816	10	102756375	102767593
ENSG00000107819	10	102790991	102800998
ENSG00000107821	10	102821598	102827888
ENSG00000107829	10	103370423	103455052
ENSG00000107833	10	103541082	103543170
ENSG00000107854	10	93558069	93625033
ENSG00000107862	10	104005289	104142656
ENSG00000107863	10	24872538	25012597
ENSG00000107864	10	93806449	94050844
ENSG00000107872	10	104178946	104182893
ENSG00000107874	10	104183002	104192418
ENSG00000107882	10	104263744	104393292
ENSG00000107890	10	27280843	27389421
ENSG00000107897	10	27484146	27531059
ENSG00000107902	10	126150403	126306457
ENSG00000107929	10	855484	977564
ENSG00000107937	10	1034338	1065876
ENSG00000107938	10	127408084	127452712
ENSG00000107949	10	127512115	127542264
ENSG00000107951	10	30598730	30663377
ENSG00000107954	10	105253736	105352309
ENSG00000107957	10	105348285	105615301
ENSG00000107959	10	3179920	3215003
ENSG00000107960	10	105642300	105677963
ENSG00000107968	10	30722866	30750762
ENSG00000107984	10	54074056	54077802
ENSG00000108010	10	131934663	131982785
ENSG00000108021	10	5726801	5805703
ENSG00000108039	10	111624524	111683311
ENSG00000108055	10	112327449	112364394
ENSG00000108061	10	112679301	112773425
ENSG00000108064	10	60144782	60158981
ENSG00000108091	10	61548521	61666414
ENSG00000108094	10	35297479	35379570
ENSG00000108100	10	35535953	35860852
ENSG00000108106	19	55912652	55919145
ENSG00000108107	19	55896713	55914612
ENSG00000108175	10	80828792	81076276
ENSG00000108176	10	69556427	69597924
ENSG00000108179	10	81107225	81115093
ENSG00000108187	10	70042417	70092806
ENSG00000108219	10	82213922	82292879
ENSG00000108231	10	95517566	95557916
ENSG00000108239	10	96162261	96295687
ENSG00000108242	10	96443251	96495947
ENSG00000108244	17	39078948	39093886
ENSG00000108256	17	27582854	27621136
ENSG00000108262	17	27900487	27921072
ENSG00000108264	17	35766965	35839835
ENSG00000108270	17	35306175	35414171
ENSG00000108272	17	34948228	34957235
ENSG00000108278	17	34842473	34855154
ENSG00000108292	17	36861795	36886056
ENSG00000108294	17	36908989	36920484
ENSG00000108296	17	36956687	36981734
ENSG00000108298	17	37356536	37360980
ENSG00000108306	17	37415384	37558776
ENSG00000108309	17	42385781	42396039
ENSG00000108312	17	42282401	42298994
ENSG00000108342	17	38171614	38174066
ENSG00000108344	17	38137050	38154213
ENSG00000108349	17	38296571	38328436
ENSG00000108352	17	38333263	38351908
ENSG00000108375	17	56429861	56494956
ENSG00000108379	17	44839872	44910520
ENSG00000108384	17	56769934	56811703
ENSG00000108387	17	56597611	56618179
ENSG00000108389	17	56566898	56595266
ENSG00000108395	17	57059999	57184282
ENSG00000108405	17	3799886	3819794
ENSG00000108406	17	57642886	57685706
ENSG00000108423	17	57936851	57970304
ENSG00000108424	17	45726842	45762871
ENSG00000108433	17	45000483	45105003
ENSG00000108439	17	46018872	46025654
ENSG00000108443	17	57970447	58027925
ENSG00000108448	17	18601311	18639431
ENSG00000108465	17	46045176	46059140
ENSG00000108468	17	46147414	46178883
ENSG00000108469	17	73622925	73663269
ENSG00000108474	17	16120505	16252115
ENSG00000108479	17	73747675	73761792
ENSG00000108506	17	59942731	60005377
ENSG00000108509	17	4871287	4890960
ENSG00000108510	17	60019966	60142643
ENSG00000108515	17	4851387	4860426
ENSG00000108518	17	4848947	4852356
ENSG00000108523	17	4843303	4848517
ENSG00000108528	17	4840425	4843546
ENSG00000108551	17	17397751	17399709
ENSG00000108556	17	4801069	4806369
ENSG00000108557	17	17584787	17714767
ENSG00000108559	17	5264258	5323480
ENSG00000108561	17	5336097	5352150
ENSG00000108578	17	28575218	28619074
ENSG00000108582	17	28705923	28797007
ENSG00000108587	17	28804380	28854610
ENSG00000108588	17	61822610	61853711
ENSG00000108590	17	6546635	6554954
ENSG00000108591	17	17991200	18011285
ENSG00000108592	17	61896793	61907372
ENSG00000108599	17	19807615	19881656
ENSG00000108602	17	19641297	19652256
ENSG00000108604	17	61909444	61920425
ENSG00000108622	17	62079954	62097994
ENSG00000108639	17	76164639	76169608
ENSG00000108641	17	19240867	19281495
ENSG00000108651	17	30187923	30228784
ENSG00000108654	17	62495734	62504317
ENSG00000108666	17	30651584	30677042
ENSG00000108669	17	76670130	76778379
ENSG00000108671	17	30771279	30810336
ENSG00000108679	17	76967320	76976191
ENSG00000108691	17	32582304	32584222
ENSG00000108733	17	33901814	33905882
ENSG00000108753	17	36046435	36105237
ENSG00000108771	17	40253422	40264751
ENSG00000108773	17	40265126	40273376
ENSG00000108774	17	40276994	40307035
ENSG00000108784	17	40688190	40696467
ENSG00000108785	17	40698782	40700724
ENSG00000108786	17	40701232	40707231
ENSG00000108788	17	40719086	40725257
ENSG00000108797	17	40834631	40851832
ENSG00000108798	17	47287589	47300587
ENSG00000108799	17	40852293	40897071
ENSG00000108813	17	48046334	48052321
ENSG00000108819	17	48211104	48227991
ENSG00000108821	17	48260650	48278993
ENSG00000108826	17	48445218	48450575
ENSG00000108828	17	41166622	41177140
ENSG00000108829	17	48452420	48474914
ENSG00000108830	17	41177258	41184057
ENSG00000108839	17	6899384	6914055
ENSG00000108840	17	42154114	42201070
ENSG00000108846	17	48712138	48769613
ENSG00000108848	17	48796905	48833574
ENSG00000108852	17	41952725	41987068
ENSG00000108854	17	62538413	62658186
ENSG00000108861	17	41843489	41856356
ENSG00000108883	17	42927311	42977030
ENSG00000108924	17	53342373	53402426
ENSG00000108932	17	66263167	66287408
ENSG00000108946	17	66507921	66547460
ENSG00000108947	17	7608520	7614696
ENSG00000108950	17	66531254	66597530
ENSG00000108953	17	1247566	1303672
ENSG00000108958	17	1761333	1761740
ENSG00000108960	17	53469974	53499353
ENSG00000108961	17	8191815	8193410
ENSG00000108963	17	1933404	1946724
ENSG00000108984	17	67410839	67539472
ENSG00000109016	17	21026677	21096578
ENSG00000109046	17	25621102	25640657
ENSG00000109062	17	72744791	72765492
ENSG00000109063	17	10531843	10560626
ENSG00000109065	17	72766686	72772506
ENSG00000109066	17	72772622	72835918
ENSG00000109079	17	26662628	26674035
ENSG00000109083	17	26655352	26662515
ENSG00000109084	17	26646121	26655707
ENSG00000109089	17	72983727	73001895
ENSG00000109099	17	15133095	15168643
ENSG00000109101	17	26833261	26865914
ENSG00000109103	17	26873725	26879686
ENSG00000109107	17	26900133	26904282
ENSG00000109111	17	26989109	27029697
ENSG00000109113	17	27041299	27045447
ENSG00000109118	17	27232268	27278789
ENSG00000109133	4	41937137	41962589
ENSG00000109171	4	48343339	48428229
ENSG00000109180	4	48807229	48863834
ENSG00000109182	4	48988264	49064098
ENSG00000109184	4	52709166	52783003
ENSG00000109189	4	53457138	53525502
ENSG00000109193	4	70676498	70725870
ENSG00000109220	4	54875956	54930857
ENSG00000109255	4	56461396	56502865
ENSG00000109265	4	57036361	57194791
ENSG00000109270	4	100799493	100815647
ENSG00000109320	4	103422486	103538459
ENSG00000109323	4	103552660	103682151
ENSG00000109332	4	103715540	103790053
ENSG00000109339	4	86936276	87515284
ENSG00000109381	4	139949266	140098372
ENSG00000109390	4	140188034	140223705
ENSG00000109436	4	141541919	141677274
ENSG00000109445	4	142142041	142155851
ENSG00000109452	4	142944313	143768585
ENSG00000109458	4	144257915	144395721
ENSG00000109466	4	166128770	166244308
ENSG00000109472	4	166282346	166419472
ENSG00000109475	4	109541722	109551568
ENSG00000109501	4	6271576	6304992
ENSG00000109519	4	7060633	7069924
ENSG00000109534	4	110736666	110745893
ENSG00000109536	4	190861943	190884359
ENSG00000109572	4	170533784	170644824
ENSG00000109576	4	170981373	171012850
ENSG00000109586	4	174089904	174245118
ENSG00000109606	4	24519064	24586173
ENSG00000109618	4	25121627	25162204
ENSG00000109654	4	154073494	154260472
ENSG00000109667	4	9772777	10056560
ENSG00000109670	4	153242410	153457253
ENSG00000109674	4	178230990	178284097
ENSG00000109680	4	26578059	26756973
ENSG00000109685	4	1873151	1983934
ENSG00000109686	4	152023903	152246784
ENSG00000109689	4	26859300	27027003
ENSG00000109736	4	2932288	2936586
ENSG00000109738	4	157997209	158093242
ENSG00000109743	4	15704573	15739936
ENSG00000109756	4	160025330	160281321
ENSG00000109762	4	186125391	186291339
ENSG00000109771	4	186285032	186317053
ENSG00000109775	4	186320694	186347139
ENSG00000109787	4	38665817	38702663
ENSG00000109790	4	39046659	39128477
ENSG00000109794	4	187025573	187093821
ENSG00000109805	4	17812525	17846485
ENSG00000109814	4	39500375	39529931
ENSG00000109819	4	23756664	23905712
ENSG00000109832	11	125773271	125793158
ENSG00000109846	11	111779289	111794446
ENSG00000109854	11	20385231	20405329
ENSG00000109861	11	88026760	88070955
ENSG00000109881	11	27352374	27385415
ENSG00000109906	11	113930315	114121398
ENSG00000109911	11	31531297	31805546
ENSG00000109917	11	116648436	116658766
ENSG00000109919	11	47638867	47664175
ENSG00000109920	11	47738072	47788995
ENSG00000109927	11	120971882	121062202
ENSG00000109929	11	121163162	121179403
ENSG00000109943	11	122709208	122743347
ENSG00000109944	11	122753391	122830506
ENSG00000109971	11	122928197	122933938
ENSG00000110002	11	123986069	124018428
ENSG00000110011	11	63997750	64001758
ENSG00000110013	11	124503009	124565603
ENSG00000110025	11	64794880	64808044
ENSG00000110031	11	58294344	58345693
ENSG00000110042	11	58938903	58976060
ENSG00000110046	11	64662007	64684722
ENSG00000110047	11	64619114	64655768
ENSG00000110048	11	59341871	59383617
ENSG00000110057	11	67758575	67772452
ENSG00000110060	11	125763381	125773116
ENSG00000110063	11	126173647	126215644
ENSG00000110066	11	67922330	67981295
ENSG00000110074	11	126138950	126148026
ENSG00000110075	11	68228186	68382802
ENSG00000110077	11	59939081	59952139
ENSG00000110079	11	60048014	60076445
ENSG00000110080	11	126225535	126310239
ENSG00000110090	11	68522088	68611878
ENSG00000110092	11	69455855	69469242
ENSG00000110104	11	60609544	60618554
ENSG00000110107	11	60658202	60674060
ENSG00000110108	11	60681346	60690915
ENSG00000110169	11	6452279	6463847
ENSG00000110171	11	6469843	6495689
ENSG00000110172	11	89934328	89956532
ENSG00000110195	11	71900602	71907345
ENSG00000110200	11	71817424	71823826
ENSG00000110218	11	93862094	93915138
ENSG00000110237	11	73019334	73080136
ENSG00000110274	11	117185273	117283984
ENSG00000110315	11	10533225	10562777
ENSG00000110318	11	101785746	101871789
ENSG00000110321	11	10818597	10830657
ENSG00000110324	11	117857063	117872196
ENSG00000110328	11	11292423	11643552
ENSG00000110330	11	102217942	102249401
ENSG00000110344	11	118230300	118269926
ENSG00000110347	11	102733467	102745764
ENSG00000110367	11	118620034	118661858
ENSG00000110375	11	118795873	118829269
ENSG00000110395	11	119076752	119178859
ENSG00000110400	11	119494120	119599794
ENSG00000110422	11	33278218	33378569
ENSG00000110427	11	33563618	33695648
ENSG00000110429	11	33762485	33796089
ENSG00000110435	11	34937376	35042138
ENSG00000110442	11	36295051	36310999
ENSG00000110446	11	60704556	60720002
ENSG00000110448	11	60869867	60895324
ENSG00000110455	11	44087475	44105772
ENSG00000110492	11	46402306	46405375
ENSG00000110497	11	46417964	46615675
ENSG00000110514	11	47290712	47351582
ENSG00000110536	11	47586982	47595013
ENSG00000110583	11	63706431	63724800
ENSG00000110619	11	3022152	3078843
ENSG00000110628	11	2920951	2946476
ENSG00000110651	11	2397407	2418649
ENSG00000110660	11	107661717	107799019
ENSG00000110665	11	2316875	2324279
ENSG00000110693	11	15987995	16761138
ENSG00000110696	11	16634679	16778428
ENSG00000110697	11	67259239	67273734
ENSG00000110700	11	17095936	17099334
ENSG00000110711	11	67250512	67258574
ENSG00000110713	11	3692313	3819022
ENSG00000110717	11	67798084	67804111
ENSG00000110719	11	67806483	67818362
ENSG00000110721	11	67820326	67888911
ENSG00000110723	11	108376158	108464465
ENSG00000110756	11	18300223	18343745
ENSG00000110768	11	18343842	18388591
ENSG00000110777	11	111222977	111326355
ENSG00000110799	12	6058040	6233936
ENSG00000110801	12	122326637	122356203
ENSG00000110811	12	6937572	6949018
ENSG00000110841	12	27676364	27848497
ENSG00000110844	12	49962001	50038449
ENSG00000110848	12	9905082	9913497
ENSG00000110851	12	108126643	108155049
ENSG00000110852	12	10005583	10022735
ENSG00000110871	12	120941077	120972237
ENSG00000110876	12	109015686	109027735
ENSG00000110880	12	109038885	109125372
ENSG00000110881	12	50451331	50477394
ENSG00000110888	12	30862486	30907885
ENSG00000110900	12	31079362	31149534
ENSG00000110906	12	109886461	109915349
ENSG00000110911	12	51373184	51422349
ENSG00000110917	12	121124672	121139667
ENSG00000110921	12	110011060	110035067
ENSG00000110925	12	51454990	51477447
ENSG00000110931	12	121675497	121736111
ENSG00000110934	12	51674822	51718452
ENSG00000110944	12	56732663	56734193
ENSG00000110955	12	57031959	57039798
ENSG00000110958	12	57057127	57082159
ENSG00000110987	12	122457328	122499948
ENSG00000111011	12	122989190	123011547
ENSG00000111012	12	58156117	58162769
ENSG00000111057	12	53342655	53346685
ENSG00000111058	12	81331594	81650533
ENSG00000111077	12	53440753	53458156
ENSG00000111110	12	63037762	63328817
ENSG00000111142	12	95867296	95909615
ENSG00000111144	12	96394606	96437298
ENSG00000111145	12	96588160	96663613
ENSG00000111181	12	299243	323736
ENSG00000111186	12	1639057	1756409
ENSG00000111196	12	10758612	10766222
ENSG00000111199	12	110220890	110271212
ENSG00000111203	12	2921788	2968957
ENSG00000111206	12	2966847	2986206
ENSG00000111215	12	10977559	11324212
ENSG00000111224	12	3900213	3982608
ENSG00000111229	12	110872630	110888227
ENSG00000111231	12	110890289	110907073
ENSG00000111237	12	110928902	110939922
ENSG00000111247	12	4647950	4669214
ENSG00000111252	12	111843752	111889427
ENSG00000111254	12	4724674	4758213
ENSG00000111261	12	12482198	12503475
ENSG00000111266	12	12628829	12715317
ENSG00000111269	12	12764761	12798042
ENSG00000111271	12	112123857	112194903
ENSG00000111275	12	112204691	112247782
ENSG00000111276	12	12867992	12875305
ENSG00000111291	12	13093709	13105081
ENSG00000111300	12	112464500	112546826
ENSG00000111319	12	6456009	6486896
ENSG00000111321	12	6484211	6500733
ENSG00000111325	12	123459127	123464590
ENSG00000111328	12	123745528	123756881
ENSG00000111331	12	113376157	113411054
ENSG00000111335	12	113416200	113449528
ENSG00000111341	12	15034115	15038860
ENSG00000111344	12	113536624	113574044
ENSG00000111348	12	15094951	15114662
ENSG00000111358	12	124118375	124147153
ENSG00000111361	12	124104953	124118313
ENSG00000111364	12	124086624	124105488
ENSG00000111371	12	46576846	46663800
ENSG00000111405	12	48103517	48119350
ENSG00000111412	12	117153593	117175875
ENSG00000111424	12	48235320	48336831
ENSG00000111445	12	118451393	118470935
ENSG00000111450	12	131274145	131323811
ENSG00000111481	12	54694986	54745633
ENSG00000111490	12	65174589	65274812
ENSG00000111530	12	67663061	67713731
ENSG00000111540	12	56367697	56388490
ENSG00000111554	12	68666223	68726161
ENSG00000111581	12	69080514	69136785
ENSG00000111596	12	70636774	70748773
ENSG00000111602	12	56810903	56843187
ENSG00000111605	12	69633317	69668138
ENSG00000111615	12	75890684	75905416
ENSG00000111639	12	6601150	6603007
ENSG00000111640	12	6643093	6647537
ENSG00000111641	12	6666029	6677857
ENSG00000111642	12	6679249	6716642
ENSG00000111644	12	6747241	6756626
ENSG00000111647	12	100422233	100536626
ENSG00000111652	12	6832907	6841041
ENSG00000111653	12	6759446	6772314
ENSG00000111665	12	6953957	6961230
ENSG00000111666	12	102090725	102137918
ENSG00000111667	12	6961292	6975796
ENSG00000111669	12	6976283	6980112
ENSG00000111670	12	102139275	102224716
ENSG00000111671	12	6980099	6998522
ENSG00000111674	12	7022909	7032861
ENSG00000111676	12	7033626	7051484
ENSG00000111678	12	7052141	7055166
ENSG00000111679	12	7055631	7070479
ENSG00000111684	12	7085348	7125814
ENSG00000111696	12	104164231	104234975
ENSG00000111700	12	20963636	21243040
ENSG00000111707	12	118814185	118855840
ENSG00000111711	12	21654715	21671342
ENSG00000111716	12	21788276	21910791
ENSG00000111725	12	120105558	120119435
ENSG00000111726	12	22199108	22218608
ENSG00000111727	12	104458235	104498639
ENSG00000111728	12	22216707	22589975
ENSG00000111729	12	8276228	8291203
ENSG00000111731	12	22601517	22697480
ENSG00000111737	12	120532899	120555306
ENSG00000111752	12	9066492	9094063
ENSG00000111775	12	120875893	120878545
ENSG00000111785	12	107168373	107283090
ENSG00000111786	12	120899471	120907596
ENSG00000111788	12	9429831	9466684
ENSG00000111790	12	27091316	27119583
ENSG00000111796	12	9747147	9760482
ENSG00000111799	6	75794042	75915767
ENSG00000111801	6	26440700	26453643
ENSG00000111802	6	24650205	24667261
ENSG00000111816	6	116252312	116381921
ENSG00000111817	6	116575336	116762424
ENSG00000111832	6	116892530	116918838
ENSG00000111834	6	116937642	116954148
ENSG00000111837	6	10762956	10838764
ENSG00000111843	6	10723148	10731362
ENSG00000111845	6	10694928	10710015
ENSG00000111846	6	10492456	10629601
ENSG00000111850	6	88032301	88052043
ENSG00000111859	6	11183531	11382581
ENSG00000111860	6	118781935	119031238
ENSG00000111863	6	11712287	11807279
ENSG00000111875	6	119215384	119230332
ENSG00000111877	6	119134605	119256327
ENSG00000111879	6	119280928	119470552
ENSG00000111880	6	89319985	89673348
ENSG00000111885	6	119498374	119670926
ENSG00000111897	6	122764499	122792967
ENSG00000111906	6	125541108	125623282
ENSG00000111907	6	125440195	125585553
ENSG00000111911	6	126277927	126301387
ENSG00000111912	6	126102307	126252266
ENSG00000111913	6	24797601	25042238
ENSG00000111961	6	148593440	148873186
ENSG00000111962	6	149068464	149398126
ENSG00000112029	6	153291664	153304714
ENSG00000112031	6	153308497	153323820
ENSG00000112033	6	35310335	35395968
ENSG00000112039	6	35420138	35434880
ENSG00000112041	6	35465651	35480715
ENSG00000112053	6	35911291	35992645
ENSG00000112062	6	35995488	36079013
